Entity,Code,Country_Check,Year, Proportion who received the final dose of (HPV) vaccine (%)
Africa (UN),,,2011,0
Africa (UN),,,2012,0
Africa (UN),,,2013,1
Africa (UN),,,2014,3
Africa (UN),,,2015,3
Africa (UN),,,2016,4
Africa (UN),,,2017,5
Africa (UN),,,2018,6
Africa (UN),,,2019,16
Africa (UN),,,2020,15
Africa (UN),,,2021,17
Africa (UN),,,2022,19
Andorra,AND,AND,2018,49
Andorra,AND,AND,2019,64
Andorra,AND,AND,2020,77
Andorra,AND,AND,2021,83
Andorra,AND,AND,2022,83
Antigua and Barbuda,ATG,ATG,2021,2
Antigua and Barbuda,ATG,ATG,2022,2
Argentina,ARG,ARG,2011,36
Argentina,ARG,ARG,2012,43
Argentina,ARG,ARG,2013,60
Argentina,ARG,ARG,2014,57
Argentina,ARG,ARG,2015,52
Argentina,ARG,ARG,2016,58
Argentina,ARG,ARG,2017,52
Argentina,ARG,ARG,2018,59
Argentina,ARG,ARG,2019,60
Argentina,ARG,ARG,2020,46
Argentina,ARG,ARG,2021,55
Argentina,ARG,ARG,2022,54
Armenia,ARM,ARM,2018,2
Armenia,ARM,ARM,2019,8
Armenia,ARM,ARM,2020,10
Armenia,ARM,ARM,2021,9
Armenia,ARM,ARM,2022,15
Asia (UN),,,2010,0
Asia (UN),,,2011,1
Asia (UN),,,2012,1
Asia (UN),,,2013,1
Asia (UN),,,2014,1
Asia (UN),,,2015,1
Asia (UN),,,2016,1
Asia (UN),,,2017,2
Asia (UN),,,2018,2
Asia (UN),,,2019,2
Asia (UN),,,2020,3
Asia (UN),,,2021,2
Asia (UN),,,2022,3
Australia,AUS,AUS,2010,67
Australia,AUS,AUS,2011,63
Australia,AUS,AUS,2012,65
Australia,AUS,AUS,2013,66
Australia,AUS,AUS,2014,66
Australia,AUS,AUS,2015,68
Australia,AUS,AUS,2016,71
Australia,AUS,AUS,2017,72
Australia,AUS,AUS,2018,75
Australia,AUS,AUS,2019,80
Australia,AUS,AUS,2020,67
Australia,AUS,AUS,2021,66
Australia,AUS,AUS,2022,58
Austria,AUT,AUT,2015,5
Austria,AUT,AUT,2016,9
Austria,AUT,AUT,2017,17
Austria,AUT,AUT,2018,26
Austria,AUT,AUT,2019,35
Austria,AUT,AUT,2020,45
Austria,AUT,AUT,2021,53
Austria,AUT,AUT,2022,53
Bahamas,BHS,BHS,2015,2
Bahamas,BHS,BHS,2016,18
Bahamas,BHS,BHS,2017,17
Bahamas,BHS,BHS,2018,10
Bahamas,BHS,BHS,2019,8
Bahamas,BHS,BHS,2020,4
Bahamas,BHS,BHS,2021,4
Bahamas,BHS,BHS,2022,8
Barbados,BRB,BRB,2014,8
Barbados,BRB,BRB,2015,31
Barbados,BRB,BRB,2016,15
Barbados,BRB,BRB,2017,15
Barbados,BRB,BRB,2018,26
Barbados,BRB,BRB,2019,28
Barbados,BRB,BRB,2020,7
Barbados,BRB,BRB,2021,27
Barbados,BRB,BRB,2022,15
Belgium,BEL,BEL,2012,61
Belgium,BEL,BEL,2013,63
Belgium,BEL,BEL,2014,64
Belgium,BEL,BEL,2015,66
Belgium,BEL,BEL,2016,67
Belgium,BEL,BEL,2017,68
Belgium,BEL,BEL,2018,69
Belgium,BEL,BEL,2019,69
Belgium,BEL,BEL,2020,70
Belgium,BEL,BEL,2021,70
Belgium,BEL,BEL,2022,69
Belize,BLZ,BLZ,2017,51
Belize,BLZ,BLZ,2018,54
Belize,BLZ,BLZ,2019,63
Belize,BLZ,BLZ,2020,12
Belize,BLZ,BLZ,2021,5
Belize,BLZ,BLZ,2022,7
Bhutan,BTN,BTN,2010,95
Bhutan,BTN,BTN,2011,74
Bhutan,BTN,BTN,2012,77
Bhutan,BTN,BTN,2013,68
Bhutan,BTN,BTN,2014,94
Bhutan,BTN,BTN,2015,94
Bhutan,BTN,BTN,2016,95
Bhutan,BTN,BTN,2017,94
Bhutan,BTN,BTN,2018,94
Bhutan,BTN,BTN,2019,74
Bhutan,BTN,BTN,2020,83
Bhutan,BTN,BTN,2021,90
Bhutan,BTN,BTN,2022,71
Bolivia,BOL,BOL,2017,64
Bolivia,BOL,BOL,2018,59
Bolivia,BOL,BOL,2019,66
Bolivia,BOL,BOL,2020,23
Bolivia,BOL,BOL,2021,34
Bolivia,BOL,BOL,2022,45
Botswana,BWA,BWA,2015,64
Botswana,BWA,BWA,2016,73
Botswana,BWA,BWA,2017,0
Botswana,BWA,BWA,2018,0
Botswana,BWA,BWA,2019,43
Botswana,BWA,BWA,2020,0
Botswana,BWA,BWA,2021,21
Botswana,BWA,BWA,2022,20
Brazil,BRA,BRA,2014,60
Brazil,BRA,BRA,2015,49
Brazil,BRA,BRA,2016,71
Brazil,BRA,BRA,2017,91
Brazil,BRA,BRA,2018,67
Brazil,BRA,BRA,2019,67
Brazil,BRA,BRA,2020,71
Brazil,BRA,BRA,2021,67
Brazil,BRA,BRA,2022,69
Brunei,BRN,BRN,2012,99
Brunei,BRN,BRN,2013,85
Brunei,BRN,BRN,2014,80
Brunei,BRN,BRN,2015,76
Brunei,BRN,BRN,2016,85
Brunei,BRN,BRN,2017,87
Brunei,BRN,BRN,2018,88
Brunei,BRN,BRN,2019,87
Brunei,BRN,BRN,2020,81
Brunei,BRN,BRN,2021,84
Brunei,BRN,BRN,2022,78
Bulgaria,BGR,BGR,2013,20
Bulgaria,BGR,BGR,2014,14
Bulgaria,BGR,BGR,2015,4
Bulgaria,BGR,BGR,2016,3
Bulgaria,BGR,BGR,2017,4
Bulgaria,BGR,BGR,2018,6
Bulgaria,BGR,BGR,2019,4
Bulgaria,BGR,BGR,2020,3
Bulgaria,BGR,BGR,2021,1
Bulgaria,BGR,BGR,2022,1
Burkina Faso,BFA,BFA,2022,16
Cameroon,CMR,CMR,2021,5
Cameroon,CMR,CMR,2022,7
Canada,CAN,CAN,2013,73
Canada,CAN,CAN,2014,74
Canada,CAN,CAN,2015,75
Canada,CAN,CAN,2016,79
Canada,CAN,CAN,2017,83
Canada,CAN,CAN,2018,83
Canada,CAN,CAN,2019,83
Canada,CAN,CAN,2020,87
Canada,CAN,CAN,2021,87
Canada,CAN,CAN,2022,86
Cape Verde,CPV,CPV,2022,93
Central and Southern Asia (UN),,,2010,0
Central and Southern Asia (UN),,,2011,0
Central and Southern Asia (UN),,,2012,0
Central and Southern Asia (UN),,,2013,0
Central and Southern Asia (UN),,,2014,0
Central and Southern Asia (UN),,,2015,0
Central and Southern Asia (UN),,,2016,0
Central and Southern Asia (UN),,,2017,0
Central and Southern Asia (UN),,,2018,1
Central and Southern Asia (UN),,,2019,1
Central and Southern Asia (UN),,,2020,2
Central and Southern Asia (UN),,,2021,2
Central and Southern Asia (UN),,,2022,2
Chile,CHL,CHL,2015,77
Chile,CHL,CHL,2016,80
Chile,CHL,CHL,2017,72
Chile,CHL,CHL,2018,78
Chile,CHL,CHL,2019,84
Chile,CHL,CHL,2020,76
Chile,CHL,CHL,2021,59
Chile,CHL,CHL,2022,69
Colombia,COL,COL,2012,87
Colombia,COL,COL,2013,52
Colombia,COL,COL,2014,17
Colombia,COL,COL,2015,7
Colombia,COL,COL,2016,2
Colombia,COL,COL,2017,3
Colombia,COL,COL,2018,9
Colombia,COL,COL,2019,10
Colombia,COL,COL,2020,9
Colombia,COL,COL,2021,11
Colombia,COL,COL,2022,11
Cook Islands,COK,COK,2011,74
Cook Islands,COK,COK,2013,48
Cook Islands,COK,COK,2014,99
Cook Islands,COK,COK,2015,83
Cook Islands,COK,COK,2016,41
Cook Islands,COK,COK,2017,69
Cook Islands,COK,COK,2018,70
Cook Islands,COK,COK,2019,73
Cook Islands,COK,COK,2022,8
Costa Rica,CRI,CRI,2019,39
Costa Rica,CRI,CRI,2020,74
Costa Rica,CRI,CRI,2021,57
Costa Rica,CRI,CRI,2022,71
Cote d'Ivoire,CIV,CIV,2020,12
Cote d'Ivoire,CIV,CIV,2021,38
Cote d'Ivoire,CIV,CIV,2022,34
Cyprus,CYP,CYP,2017,57
Cyprus,CYP,CYP,2018,64
Cyprus,CYP,CYP,2019,64
Cyprus,CYP,CYP,2021,84
Cyprus,CYP,CYP,2022,84
Denmark,DNK,DNK,2011,68
Denmark,DNK,DNK,2012,72
Denmark,DNK,DNK,2013,75
Denmark,DNK,DNK,2014,66
Denmark,DNK,DNK,2015,55
Denmark,DNK,DNK,2016,16
Denmark,DNK,DNK,2017,36
Denmark,DNK,DNK,2018,54
Denmark,DNK,DNK,2019,62
Denmark,DNK,DNK,2020,82
Denmark,DNK,DNK,2021,82
Denmark,DNK,DNK,2022,78
Developing regions,,,2010,0
Developing regions,,,2011,1
Developing regions,,,2012,3
Developing regions,,,2013,4
Developing regions,,,2014,6
Developing regions,,,2015,7
Developing regions,,,2016,8
Developing regions,,,2017,9
Developing regions,,,2018,9
Developing regions,,,2019,11
Developing regions,,,2020,9
Developing regions,,,2021,9
Developing regions,,,2022,12
Dominica,DMA,DMA,2020,66
Dominica,DMA,DMA,2021,69
Dominica,DMA,DMA,2022,73
Dominican Republic,DOM,DOM,2017,34
Dominican Republic,DOM,DOM,2018,30
Dominican Republic,DOM,DOM,2019,6
Dominican Republic,DOM,DOM,2020,4
Dominican Republic,DOM,DOM,2021,8
Dominican Republic,DOM,DOM,2022,13
Eastern and South-Eastern Asia (UN),,,2011,2
Eastern and South-Eastern Asia (UN),,,2012,2
Eastern and South-Eastern Asia (UN),,,2013,2
Eastern and South-Eastern Asia (UN),,,2014,2
Eastern and South-Eastern Asia (UN),,,2015,3
Eastern and South-Eastern Asia (UN),,,2016,3
Eastern and South-Eastern Asia (UN),,,2017,6
Eastern and South-Eastern Asia (UN),,,2018,5
Eastern and South-Eastern Asia (UN),,,2019,4
Eastern and South-Eastern Asia (UN),,,2020,4
Eastern and South-Eastern Asia (UN),,,2021,2
Eastern and South-Eastern Asia (UN),,,2022,4
Ecuador,ECU,ECU,2014,81
Ecuador,ECU,ECU,2015,99
Ecuador,ECU,ECU,2016,95
Ecuador,ECU,ECU,2017,86
Ecuador,ECU,ECU,2018,72
Ecuador,ECU,ECU,2019,54
Ecuador,ECU,ECU,2020,35
Ecuador,ECU,ECU,2021,2
Ecuador,ECU,ECU,2022,52
El Salvador,SLV,SLV,2021,38
El Salvador,SLV,SLV,2022,34
Estonia,EST,EST,2018,46
Estonia,EST,EST,2019,55
Estonia,EST,EST,2020,54
Estonia,EST,EST,2021,56
Estonia,EST,EST,2022,43
Ethiopia,ETH,ETH,2019,82
Ethiopia,ETH,ETH,2020,73
Ethiopia,ETH,ETH,2021,71
Ethiopia,ETH,ETH,2022,74
Europe (UN),,,2010,22
Europe (UN),,,2011,26
Europe (UN),,,2012,28
Europe (UN),,,2013,29
Europe (UN),,,2014,28
Europe (UN),,,2015,31
Europe (UN),,,2016,32
Europe (UN),,,2017,32
Europe (UN),,,2018,32
Europe (UN),,,2019,35
Europe (UN),,,2020,33
Europe (UN),,,2021,33
